たかはし みほ,11,北海道4区,,,高橋,美穂,たかはし,みほ,52,希望,,元,1,比例,,把握漏れ
いとう ゆうた,51,宮城1区,,,伊藤,優太,いとう,ゆうた,32,希望,,新,0,比例,,把握漏れ
いまどめ なおと,53,宮城1区,,,今留,尚人,いまどめ,なおと,52,無所,,新,0,,,把握漏れ
たかむら なおや,61,宮城4区,,,高村,直也,たかむら,なおや,34,共産,,新,0,,,把握漏れ
まつうら だいご,67,秋田1区,,,松浦,大悟,まつうら,だいご,48,希望,,新,0,比例,,把握漏れ
とみおか あきら,74,秋田3区,,,冨岡,昭,とみおか,あきら,67,共産,,新,0,,,把握漏れ
あらい かん,76,山形1区,,,荒井,寛,あらい,かん,44,希望,,新,0,比例,,把握漏れ
ひぐち まい,111,茨城3区,,,樋口,舞,ひぐち,まい,44,希望,維新,新,0,比例,,把握漏れ
わたなべ みゆき,132,栃木3区,,,渡辺,美由紀,わたなべ,みゆき,58,希望,,新,0,比例,,把握漏れ
いのくち さちこ,154,群馬5区,,,猪口,幸子,いのくち,さちこ,61,希望,,新,0,比例,,把握漏れ
いしかわ ひでゆき,163,埼玉3区,,,石川,英行,いしかわ,ひでゆき,54,無所,,新,0,,,把握漏れ
みわ あさみ,164,埼玉3区,,,三輪,麻美,みわ,あさみ,30,希望,,新,0,比例,,把握漏れ
たかぎ ひでふみ,175,埼玉5区,,,高木,秀文,たかぎ,ひでふみ,44,希望,維新,新,0,比例,,把握漏れ
かきぬま はるき,188,埼玉10区,,,柿沼,遥輝,かきぬま,はるき,34,共産,,新,0,,,把握漏れ
きたずみ よしゆき,198,埼玉13区,,,北角,嘉幸,きたずみ,よしゆき,54,希望,,新,0,比例,,把握漏れ
たけがはら ゆみこ,216,千葉2区,,,竹ケ原,裕美子,たけがはら,ゆみこ,46,希望,,新,0,比例,,把握漏れ
おかの じゅんこ,227,千葉5区,,,岡野,純子,おかの,じゅんこ,39,希望,,新,0,比例,,把握漏れ
えんどう のぶひこ,228,千葉6区,,,遠藤,宣彦,えんどう,のぶひこ,54,希望,,元,1,比例,,把握漏れ
みやかわ しん,252,千葉13区,,,宮川,伸,みやかわ,しん,47,立憲,,新,0,比例,,把握漏れ
みずの ともひこ,255,千葉13区,,,水野,智彦,みずの,ともひこ,61,希望,,元,1,比例,,把握漏れ
まつざわ かおる,256,東京1区,,,松沢,香,まつざわ,かおる,39,希望,,新,0,比例,,把握漏れ
またよし みつお,259,東京1区,,,又吉,光雄,またよし,みつお,73,諸派,,新,0,,,把握漏れ
いぬまる みつか,261,東京1区,,,犬丸,光加,いぬまる,みつか,57,諸派,,新,0,,,把握漏れ
はとやま たろう,264,東京2区,,,鳩山,太郎,はとやま,たろう,43,希望,,新,0,比例,,把握漏れ
なんば みちよ,270,東京4区,,,難波,美智代,なんば,みちよ,43,希望,,新,0,比例,,把握漏れ
うえまつ えみこ,278,東京6区,,,植松,恵美子,うえまつ,えみこ,49,希望,,新,0,比例,,把握漏れ
