ident,qname
007e2041-6cd0-4ca1-9b3b-d622315eb432,Q382311
00d65cf2-96ca-48ae-9f1e-5e35a502e543,Q6782391
010f9fcd-4f9e-49b8-9e96-ae2720533d40,Q1655755
0162704c-9db5-49b4-9f2f-7705af7b2cc8,Q6383690
021985a0-c4fc-4890-aac3-575b1ec689d8,Q11544051
02bbf3e1-768c-4b9a-b560-e0bde7e84032,Q18817972
03b8b644-2c0c-474e-a09c-cca5c00ea311,Q1654639
03e32c47-5684-4e60-a378-516d829ebf8f,Q7820173
0540534f-8c8e-45d1-9a75-d4d044db32c9,Q11589542
054faf09-a032-4cad-8868-c7d25b166ab2,Q8056070
057f0268-8566-4f5a-8087-302b6ce53339,Q132280
05eb9daf-303b-49dc-9804-9b8f1e7facef,Q1133360
066b31e2-97d2-4c08-9eb9-47919d1f6350,Q11425985
06e1a335-e866-4c46-b334-ee4e7ac66d9b,Q18818101
0755d749-4d55-4745-84b8-1857a5c9cf24,Q5349200
0775f6d9-c52c-4977-8759-a483cba61052,Q1135729
07e455aa-3370-4680-9fc2-e7803f21c828,Q11360103
097bc2ca-d430-48bd-8df9-36ae2d7eaf54,Q614476
0a01370d-4d0c-4730-8484-771c2b121236,Q7446761
0a147e41-ee9b-41ea-b180-8b788c58c38b,Q5533162
0a1e6b19-3a9d-4121-986d-8333eecd9499,Q459998
0d5bcdb5-4308-40af-8254-b213de444b9f,Q130856
0e187ffa-87d9-4795-a10e-5fed486f118d,Q463331
0e5db760-04d5-413d-ac0a-bc2fb0b3054f,Q7973013
0ebe0a18-123d-4ba1-84fc-c640480d46d9,Q16263623
100cfa07-038e-4a67-8336-30094d16e6b7,Q6088170
100e754b-6551-48a4-860a-c496cfa00688,Q57647
10cf15b6-39c4-4b5c-833e-0129a22820dc,Q4701145
10dd886c-506f-4959-b856-855256741229,Q8056243
11517495-f848-4240-a6a2-7e4c6d3503f0,Q7446737
11794a81-d7f1-4b98-82d6-6ede427c5a67,Q548239
120f6875-3ef7-4f93-9da3-e2082ed057d5,Q337406
121198d5-4b0a-4070-8507-f477556488d4,Q6837954
12156bf0-9ab0-4be3-b2b3-ca86d4085dc3,Q6378065
124e6211-1fc8-447d-9c5c-b28de6e32e09,Q11593023
132d504a-f56b-46bb-871e-bba6d65a8411,Q6782819
13aaeeff-1da7-4bc3-976e-fbe31ba91d1d,Q11462582
14df8cd8-e973-4707-82c0-e54c6a77a6ec,Q11542092
15f0f30d-b84f-4733-b575-d6dd3dede750,Q11523193
1623b7c7-ecfa-41a9-82b2-6cefd914a256,Q11572466
163f86a4-8b35-4a86-9c38-e95e56ec4666,Q6383646
16c7f585-d63f-4735-a6b0-c204efdc8378,Q5637084
16e32d56-18e1-498f-b544-f183de1d18ec,Q337762
191076fd-d75b-45e8-a2d0-c10d3a855727,Q20039110
19757b62-bc34-4578-bc93-0b8ead9a19bb,Q11553342
19db855e-59ef-4c94-b070-6e3aea626b95,Q11462993
1a09e9d1-55be-4bdd-a7b9-b46abbcf10e4,Q18817798
1a5b03e1-94cb-46c7-9d9a-7daa00e099ee,Q17160031
1a9d0b8f-b851-4ed6-8f93-fe233a46dc5e,Q11520430
1b92795d-a368-4824-a9e9-82ad64a703c3,Q8049977
1be51db2-261f-4233-ad43-450ac60546ec,Q7505080
1c956197-7810-45d5-8570-898500b959c1,Q11465449
1cbf001c-b6c8-40a1-bf69-00f2bb94b5d3,Q11384409
1dc30874-99c1-4798-8c11-41f8dfed3016,Q11637002
1dcd6af3-26a4-4d6a-a36c-7700a11e1d34,Q11551703
1e368038-3d84-4250-b677-f82f18bd8957,Q11668691
1f086721-5f0a-42f0-ad5d-73a1605e6157,Q17158474
1faca2ee-03ef-444f-add2-29a78ab75857,Q11518159
1feee4ae-03f6-4000-9955-fb2d7b16e849,Q8056240
20089f26-08a1-44e9-81b3-70aacca710d3,Q6383911
208a3f58-d13b-4695-b624-358cd36b9d32,Q11368259
20f71af5-acc6-48c2-98b8-a73c16455cbf,Q1207174
2167817d-fc5f-4e70-9949-c4828478a771,Q6864590
21c2965c-bfb4-4d81-a452-9d3a29a86f68,Q1161024
22e8acb8-8336-42c6-a707-a1ce0d04576b,Q11646784
2329dabc-f59d-465b-8c51-f6bc0fef2aa1,Q11391317
236bf9b1-c914-4f23-a488-a05bcb5b5982,Q11373350
258295da-a112-400c-9ab5-398cf8dae2c5,Q7497524
260f2cb7-a90c-4774-bc16-607e6f56d947,Q6389383
261da1cf-b930-495c-bc13-2da15768e2d4,Q8056061
263cb26a-f40e-4a59-953a-12bf1a4420a8,Q11459848
272686f5-b156-4048-923d-6dc77463e2f9,Q58213
27971d04-00b5-4cf8-a571-8ee13c0bc45f,Q20039172
28640f67-63eb-4ebf-87a6-f9343a9a2187,Q23907516
289cbe4f-64b1-4655-9c6d-ca341b7a967e,Q8055323
28a1921b-ae61-40ac-8bd2-c7bd01a60986,Q11580448
2a013181-5bad-4967-a56f-af7d8eb7a657,Q6426240
2a1fa1a1-dad2-4d69-b98f-7a5426237553,Q11602573
2a4a1118-fee3-4a9b-8187-b5f0b8835f1e,Q11654965
2ade20c0-6f9d-440a-a4c8-205d9b322a85,Q11454603
2af55035-d274-4ad6-9af3-f625807a96d7,Q467453
2b14802d-249b-4ae1-bd3e-9904b1c0aff5,Q11513088
2b9a258c-3212-4308-b27a-1fc0f1ef4a50,Q11470671
2c3fc6bb-36e8-4f1e-8d84-f8c590f87047,Q11646016
2c50acd0-34fa-4ff8-b3a2-62c3c1795256,Q405085
2cf8f268-4a78-40ef-a83c-9cb99ff4ebf3,Q1655220
2d26c32a-84d5-4626-855a-3ca378ed9b58,Q4817826
2d7cbfe6-95ec-4af8-ab19-577d5b89cb05,Q11377132
2dd88be6-0018-440c-ad38-e3fa38c7993b,Q7446719
2eb3ed5d-1804-489c-9360-7615456e62bb,Q6314413
2f4b00db-8615-40fc-9af1-99432739d3a3,Q11453336
2f7274ed-aa38-402e-b352-ef07efe86d2a,Q20041786
304ae618-ecbf-443b-ada8-e842e355c132,Q11364144
305c8225-f612-46d4-b279-ee3adf3eedb6,Q11518222
30a1ed5e-9268-48bd-b2c2-1cc914be7753,Q861808
312d82d6-bf86-4e58-95e8-7936933d6b7b,Q263777
31363ad3-b5bb-4f53-827f-0dc504fdf608,Q459698
318d7c88-31ac-40d1-89b3-357f53c475b9,Q11562188
322f14ac-49aa-4dd7-813c-c903baa06b1b,Q18818200
33507288-28e8-469f-a794-74dbcd807475,Q11399159
33b7067a-ebe8-459a-84f6-8040baa9c094,Q457774
33c901a2-9c8e-4d62-989d-8ca002fd29c5,Q1335527
33df6fd1-0b45-44fc-af79-5170e7e42b82,Q732087
3565f4e2-b75b-4694-bcc7-2a6f93ec9e69,Q11373460
35c74300-6ad0-497b-bfdf-29b9a8066fc9,Q6383814
36e2551c-7b07-4aae-b1de-758067c24ead,Q7051265
37009235-653d-4335-ac1c-6026e07a6b07,Q8056299
370f756a-3b2a-4f21-8a85-47525579d1e0,Q388496
3720f9dd-c918-4bb7-a88e-3e40f0ac7526,Q18818207
374b1a6a-cf70-4bfd-9cad-bc4fbf6a6c0f,Q129149
37ff8221-8bb1-427d-afbb-46597cc4042f,Q5771003
38175a6f-077e-4fe6-9b7d-9e2e263f394a,Q7477634
390f3c66-03cf-4b97-8acf-bb25f246409f,Q11422753
399ff3fb-3b31-4dda-b256-dbb087d9ce00,Q11566187
39bdb1b2-f920-47c7-83da-2e1ae169db12,Q18817349
3a898897-47a7-41e7-b539-13497fab5d77,Q8060577
3b9a5157-41d9-437c-ab80-b51b1f44d585,Q11667848
3be1185a-8bd7-409e-8c68-e3158e9cb91d,Q359480
3c134282-5a10-45e7-8c39-7bc2af4cb88e,Q132596
3c2dccb2-dfe4-44c6-8362-dc34e82931f2,Q11644760
3d8ae38a-0530-47e2-ad1d-2914f96b3908,Q11373778
3e99e2a1-240b-4398-a200-238349ce0566,Q11461458
3fc6aaf6-76e8-4573-af30-ae9e23f125fa,Q20040828
3fceb604-5025-4d3f-863b-aee42ee92a16,Q926287
400991cf-8050-4686-9d56-ce1bcc6f8725,Q7706925
403064d9-3f2c-437d-b3af-f32534e5f467,Q7497769
417825d8-05bd-4e15-9e9e-a0c0bf131b36,Q11562133
419fcadb-0c33-416c-b1fa-0d27c38fc1dd,Q6435368
41aec53f-def4-4339-b29c-dd9bbc899901,Q1654408
41ecbfa9-cccd-4259-b1c8-f21fea9d289d,Q5770251
4244f6d7-87f1-4027-bd9b-a99e296b1449,Q1133880
426e712b-5ece-4792-9d0c-1aacf22f141c,Q18818124
42c46a75-4f5a-4fcb-b7c6-3a8c156ee2aa,Q6782366
43fc73f6-1eb0-45f1-99e0-500ad496d6c2,Q7677320
44151bd3-6e9e-4ed3-968e-d80a10075508,Q8062685
44182c5a-b691-4eef-908b-95fbad712bb4,Q1737907
4484c302-715f-4ecd-8e7a-c43888ac71e1,Q11395120
451f01c1-357b-4e3f-9e4c-1f6187101782,Q49943
457bd39a-ccd8-42bf-9aa0-b2bc61a6bb9c,Q11446165
4639d74a-4da0-4dde-afe8-83f395326100,Q337507
46673da5-09f8-4b8e-a92a-a737619f0827,Q11469130
46ddf914-2400-4128-8670-670c9e7f0e0d,Q7504802
46f8fb1e-a5df-4ae4-bbb8-5db24de9079b,Q1133136
4773bdfd-72db-4e38-aae4-18f4d143521e,Q11546026
4792d383-50ab-462c-8f20-3aeffa900df4,Q7677366
47e38fb8-647f-4cd6-ac0f-c25ad5b8d3c5,Q4803390
4842ff90-2dfb-46ee-b029-a039650d3199,Q5100105
49728c65-111d-434f-96b9-f4f0f7df4c58,Q7677226
499ba914-9d4b-444d-95bc-113efb0f325d,Q8055970
49a77ec1-01af-4f8e-8656-a6f0eecc15fd,Q18817877
49fb39fe-d71c-4606-b239-1dbc2a0155b7,Q6381615
4a38b33e-bf86-4da7-84f2-c04c0d80844e,Q6389276
4a68680c-f133-4df4-8c44-38c189ca5ce8,Q8050092
4b667cfe-1e5e-4958-a1b6-4e7078e9c8d0,Q11364762
4bae6dda-24cb-42fc-8e9a-4f6bbbe9d46c,Q11651619
4be032bb-ca8d-4d24-a458-4d46ec07b95c,Q11451405
4ca519c5-72ae-4a5b-b82f-47bcd682c6bc,Q11377294
4d222c83-1e67-4b4f-9633-d33a89b1975d,Q17158714
4d27db7f-153b-4d1a-b82c-d265ef877dfd,Q11556075
4d7a4240-6a9c-4e59-9d48-72486f0216b8,Q20039675
4e334809-191a-4c31-a08e-4dd057e3be7f,Q6383605
4fee82b0-dc29-469d-8ed3-f257e6b09632,Q18818065
50ac0e57-38ed-4b40-815b-0dda73caeff6,Q8054534
52b68d26-9109-424c-bb90-556853c2fed6,Q11379575
5393922d-3e6c-40f8-bb36-585c5c9bd161,Q15220933
541b65c7-038f-4043-a13e-1b2832aac70d,Q11648868
55542aec-47ab-4513-ba16-0f8ce3f2e107,Q7706956
5682735a-1ff3-4e10-a643-1a4e6c005113,Q6433881
56dd9115-2b4c-4705-b8e0-a3852763c469,Q6426211
5744afad-f1dd-4f03-a2dc-137032c9f775,Q47846
578a4f4c-2b1c-4661-af10-c5aa6ead899e,Q11679075
57e5a55e-72a0-4d8f-9b8c-8627b09ac401,Q11619136
57fb7528-f744-43a7-8ec2-453fd4972cc0,Q20039047
581546ff-4570-4a7b-892c-bdcd55ec3ed9,Q11673487
58169c91-9d85-4c06-b47f-75e7e0c01e71,Q418119
59beb52b-fb99-4cd9-a418-4a7aa7ec8cf0,Q8056290
5acac4fa-17a8-4611-bcd3-d31ad950e47b,Q1761759
5aee5db5-bbf9-4e26-a1b9-d62f737fc6f1,Q21655823
5c2dca62-88b0-4e4d-afe9-1f8cfbf03803,Q21655857
5c5e066d-a5f4-4ba6-9f48-def7f59671d6,Q11677736
5cd49b83-cae1-4684-9c12-3af862bf82ed,Q360395
5ce5684f-450c-4313-8742-6e64b241d057,Q5770815
5e516bf2-77e7-4e7f-aa84-c2d5a519316c,Q1133463
5e9b3741-8a58-435d-b364-efa19ef8187c,Q7385322
5f08a44b-6284-4c27-9ccb-3b4457ca3a06,Q11535033
609751cb-012b-4856-9ab3-2cdea3977051,Q49999
60c89264-ea3e-4dc6-a026-54c884b21156,Q18818221
6146708d-f5d8-40c4-bc4f-3cd189e9b6af,Q17159494
616c4b6e-67f3-4da7-b50c-329c0eaa6806,Q20041303
61afa232-2e02-40cf-bb07-789fdb65b7fa,Q11434738
6220abe3-40d1-4c64-8927-49133fd1fb2c,Q16769971
6229dcab-9319-4bff-ac54-246c61f5b00d,Q11589528
62a32ed4-0178-47f6-9de0-7525160ee015,Q8050121
62ec7e8b-0977-4c35-bc9b-e40bcf729b1e,Q3482658
6397c5a6-d8d8-45db-967f-a28a92f7e386,Q11427301
6450fa8e-5244-4bba-aaed-f8ee44adc8c0,Q5752395
64a19869-6f84-47f0-ae5c-c518d8912fc0,Q11455005
