解説→,https://hackmd.io/OwFgxgnBBmCMsFoBMATaBWBIkEMUKgA5EAGCFAUwDYwkR0SBmdIA,,,,,,,,,※データ整備の優先度が高そうな項目順にオレンジ→黄色となっています。グレーのセルはwikidataに登録済みであることを表しますが、後日用なので気にしないでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,更新予定と実績,,,Wikidataの更新、登録（現時点ではいったん作業停止）,,,,,,,,,,
進捗率(完了日をカウント)→,43.98%,,,,,,,,,※水色の項目はいったんデータ整備が終わったもので手作業での入力は不要。緑色の項目も機械的に自動収集中なので、手作業での入力はいったん不要。機械的な作業が終わったら過不足や誤りを手作業で別途メンテ予定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wikidata ID,name,,,,name in hiragana,party short name,parliamentary_group,,,current position,,,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),candidacy in election,elected in,gender,birthday,age(calculated),,image,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,,,,,,,,,,,,
UI用DBカラム名,name_full,name_last,name_first,name_alias,name_full_furigana,pary_id,,party_history,is_candidate,current_position,submission_order,,pref_code,senkyoku_no,hirei_area_id,,candidacy_history,winning_history,gender,birth_day,,birth_year,photo_url,twitter_id,facebook_id,facebook_page_id,line_id,youtube_channel_id,instagram_id,offiicial_website_url,email,official_blog_url,reference_url,birth_place,educational_background,,occupation,position_held,father,spouse,,url_wikidata,url_wikipedia,,,,,,,,,,,,,,
wikdiata_concept,label,,,alias,P1814,P102,P4100,P102,P3602,,,,Q646425,,P768(Q13365595),P768(Q1052894),P3602,P2715,P21,P569,,P569,P18,P2002,P2013,P4003,P553-P554,P2397,P553-P554,P856,P968,P1581,P973,P19,P69,P69,P106,P39,P22,P26,,,,,,,,,,,,,朝日結果から確認,,,,
wikidata,名前（フル）,名前（姓）,名前（名）,選挙用表記名/別名,かな,公認政党,推薦政党,以前の政党,立候補,前回,届け出順,比例名簿順位,都道府県,小選挙区番号,比例区,小選挙区,過去の立候補歴,過去の当選歴,性別,誕生日,年齢,誕生年,写真,twitter,フェイスブックID,公式Facebookページ,LINEアカウント,youtube channel,Instagram,公式サイト,メールアドレス,公式ブログ,詳細情報URL,出生地,学歴（履歴）,学歴（最新）,職歴,公職,父親,配偶者,メモ,Wikidata URL,Wikipedia URL,担当,予定日,完了日,担当,予定日,完了日,GrayDBId,,,小選挙区,重複立候補,比例のみ,比例名簿順,マッチング情報
,内山晃,内山,晃,,うちやま あきら,希望,,,確定,,,,33,3,中国,岡山県 3区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,うちやま あきら,http://google.co.jp/search?q=内山晃,,,,,
Q1039717,又吉光雄,又吉,光雄,,またよし みつお,諸派,,,確定,,,,13,1,,東京都 1区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,またよし みつお,,,,,,
Q10856313,田中美絵子,田中,美絵子,田中美絵子,たなか みえこ,希望,,民進,確定,,3,1,17,1,北陸信越,石川県 1区,"第45回衆議院議員総選挙,石川2区
第46回衆議院議員総選挙,東京15区
第47回衆議院議員総選挙,石川1区","第45回衆議院議員総選挙,比例区",女性,1975-12-16,41,1975,,,https://www.facebook.com/mieko.tanaka.370,,,,mieko_ishikawa2012,http://www.tanakamieko.jp,,http://www.tanakamieko.jp/category/blog/,,石川県,"北陸学院高校
帝京女子短期大学
明治大学政治経済学部卒
",明治大学大学院(政治学修士),"会社員、ツアーコンダクター（国内添乗員）
平田健二参議院議員　秘書
河村たかし衆議院議員　秘書","衆議院議員,2009年8月～2012年11月",,,独身,https://www.wikidata.org/wiki/Q10856313,https://ja.wikipedia.org/wiki/田中美絵子,tominari,10/9,10/9,,,,386,たなか みえこ,http://google.co.jp/search?q=田中美絵子,石川1区,比例,,1,1_小選挙区
Q1131407,堀井学,堀井,学,,ほりい まなぶ,自民,,,確定,現職,,,1,9,北海道,北海道 9区,"北海道議会議員選挙(2007)
北海道議会議員選挙(2011)
第46回衆議院議員総選挙(2012)
第47回衆議院議員総選挙(2014)","北海道議会議員選挙(2007)
北海道議会議員選挙(2011)
第46回衆議院議員総選挙(2012)
第47回衆議院議員総選挙(2014)",男性,1972-02-19,45,1972,,,https://www.facebook.com/jimusyo.horiimanabu,,,,,http://horiimanabu.jp/,,,,北海道室蘭市,"室蘭市白鳥台小学校(-1984)
室蘭市本室蘭中学校(-1987)
白樺学園高等学校(-1990)",専修大学商学部商業学科(-1994),"王子製紙株式会社(1994-1999)
PJMジャパン株式会社 契約社員(1999)
有限会社サクセスダイナミックス北海道 設立(2002-)
北海道教育委員会道徳非常勤講師(2002-2005)
白樺学園スピードスケート特別講師(2002-2005)
SMIジャパン株式会社 副社長(2004-2007)
NPO日本モティベーション協会 理事長(2006-2008)
北海道テクノロジー専門学校 講師(2006)
教育アドバイザー(2006-2007)","衆議院 国土交通部会 副部会長
衆議院 水産部会 副部会長
自由民主党 国会対策委員
自由民主党 遊説局 局長
自由民主党 青年局 自重
自由民主党 教育・文化・スポーツ関係団体委員会 副委員長
外務大臣政務官(2017-)",,,,https://www.wikidata.org/wiki/Q1131407,https://ja.wikipedia.org/wiki/%E5%A0%80%E4%BA%95%E5%AD%A6,higa4,,10/9,,,,34,ほりい まなぶ,http://google.co.jp/search?q=堀井学,北海道9区,比例,,3,1_小選挙区
Q1132836,浜田靖一,浜田,靖一,,はまだ やすかず,自民,,,確定,現職,,,12,12,南関東,千葉県 12区,,,男性,1955-10-21,61,1955,,,,,,,,http://www.office-hamada.jp/,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1132836,,,,,,,,208,はまだ やすかず,http://google.co.jp/search?q=浜田靖一,千葉12区,比例,,2,1_小選挙区
Q1133136,渡海紀三朗,渡海,紀三朗,,とかい きさぶろう,自民,,,確定,現職,,,28,10,近畿,兵庫県 10区,,,男性,1948-02-11,69,1948,,,,,,,,http://www.kisaburo.net/,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1133136,,,,,,,,596,とかい きさぶろう,http://google.co.jp/search?q=渡海紀三朗,兵庫10区,比例,,2,1_小選挙区
Q1133192,細田博之,細田,博之,,ほそだ ひろゆき,自民,,,確定,現職,,,32,1,,島根県 1区,,,男性,1944-04-05,73,1944,,HosodaHiroyuki,,,,,,http://h-hosoda.jp/,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1133192,,,,,,,,653,ほそだ ひろゆき,http://google.co.jp/search?q=細田博之,島根1区,,,,1_小選挙区
Q1133194,森英介,森,英介,,もり えいすけ,自民,,,確定,現職,,,12,11,南関東,千葉県 11区,,,男性,1948-08-31,69,1948,,,,,,,,http://www.morieisuke.com/index.html,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1133194,,,,,,,,205,もり えいすけ,http://google.co.jp/search?q=森英介,千葉11区,比例,,2,1_小選挙区
Q1133360,佐藤勉,佐藤,勉,,さとう つとむ,自民,,,確定,現職,,,9,4,北関東,栃木県 4区,,,男性,1952-06-20,65,1952,,,,,,,,http://www.satoben.jp/,,,,栃木県下都賀郡壬生町,,,,,,,,https://www.wikidata.org/wiki/Q1133360,,,,10/9,,,,139,さとう つとむ,http://google.co.jp/search?q=佐藤勉,栃木4区,比例,,1,1_小選挙区
Q1133880,二階俊博,二階,俊博,,にかい としひろ,自民,,,確定,現職,,,30,3,,和歌山県 3区,,,男性,1939-02-17,78,1939,,,,,,,,http://www.nikai.jp/,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1133880,,,,,,,,644,にかい としひろ,http://google.co.jp/search?q=二階俊博,和歌山3区,,,,1_小選挙区
Q11353993,三ッ林裕巳,三ッ林,裕巳,,みつばやし ひろみ,自民,,,確定,現職,,,11,14,北関東,埼玉県 14区,,,女性,1955-09-07,62,1955,,hiromitsubayasi,,,,,,http://h-mitsubayashi.com/,,,,,,,,,,,,https://www.wikidata.org/wiki/Q11353993,,,,,,,,170,みつばやし ひろみ,http://google.co.jp/search?q=三ッ林裕巳,埼玉14区,比例,,1,1_小選挙区
Q11355593,三木圭恵,三木,圭恵,三木けえ,みき けえ,維新,,,確定,,,,28,7,近畿,兵庫県 7区,,,女性,1966-07-07,51,1966,,keemiki,,,,,,http://www.55miki.com/,,,,,,,,,,,,https://www.wikidata.org/wiki/Q11355593,,,,,,,,622,みき けえ,http://google.co.jp/search?q=三木圭恵,兵庫7区,比例,,2,1_小選挙区
