p,p2,pl,plj
http://www.wikidata.org/prop/direct/P269,http://www.wikidata.org/entity/P269,SUDOC authorities,SUDOC
http://www.wikidata.org/prop/direct/P268,http://www.wikidata.org/entity/P268,BnF ID,BNF
http://www.wikidata.org/prop/direct/P18,http://www.wikidata.org/entity/P18,image,画像
http://www.wikidata.org/prop/direct/P271,http://www.wikidata.org/entity/P271,CiNii author ID,CiNii著者識別子
http://www.wikidata.org/prop/direct/P19,http://www.wikidata.org/entity/P19,place of birth,出生地
http://www.wikidata.org/prop/direct/P281,http://www.wikidata.org/entity/P281,postal code,郵便番号
http://www.wikidata.org/prop/direct/P286,http://www.wikidata.org/entity/P286,head coach,チーム監督またはヘッドコーチ
http://www.wikidata.org/prop/direct/P345,http://www.wikidata.org/entity/P345,IMDb ID,IMDb識別子
http://www.wikidata.org/prop/direct/P20,http://www.wikidata.org/entity/P20,place of death,死亡地
http://www.wikidata.org/prop/direct/P21,http://www.wikidata.org/entity/P21,sex or gender,性別
http://www.wikidata.org/prop/direct/P349,http://www.wikidata.org/entity/P349,NDL Auth ID,国立国会図書館典拠ID
http://www.wikidata.org/prop/direct/P373,http://www.wikidata.org/entity/P373,Commons category,コモンズのカテゴリ
http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/P22,father,父親
http://www.wikidata.org/prop/direct/P410,http://www.wikidata.org/entity/P410,military rank,軍隊の階級
http://www.wikidata.org/prop/direct/P409,http://www.wikidata.org/entity/P409,NLA (Australia) ID,NLA
http://www.wikidata.org/prop/direct/P25,http://www.wikidata.org/entity/P25,mother,母親
http://www.wikidata.org/prop/direct/P413,http://www.wikidata.org/entity/P413,position played on team / speciality,ポジション
http://www.wikidata.org/prop/direct/P412,http://www.wikidata.org/entity/P412,voice type,声域
http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/P26,spouse,配偶者
http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/P27,country of citizenship,国籍
http://www.wikidata.org/prop/direct/P434,http://www.wikidata.org/entity/P434,MusicBrainz artist ID,MusicBrainzアーティストID
http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/P451,unmarried partner,同棲者
http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/P31,instance of,分類
http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/P463,member of,所属グループ
http://www.wikidata.org/prop/direct/P509,http://www.wikidata.org/entity/P509,cause of death,死因
http://www.wikidata.org/prop/direct/P39,http://www.wikidata.org/entity/P39,position held,公職
http://www.wikidata.org/prop/direct/P40,http://www.wikidata.org/entity/P40,child,子
http://www.wikidata.org/prop/direct/P512,http://www.wikidata.org/entity/P512,academic degree,学位
http://www.wikidata.org/prop/direct/P535,http://www.wikidata.org/entity/P535,Find a Grave grave ID,Find a Grave
http://www.wikidata.org/prop/direct/P551,http://www.wikidata.org/entity/P551,residence,居住地
http://www.wikidata.org/prop/direct/P53,http://www.wikidata.org/entity/P53,noble family,家系
http://www.wikidata.org/prop/direct/P569,http://www.wikidata.org/entity/P569,date of birth,生年月日
http://www.wikidata.org/prop/direct/P54,http://www.wikidata.org/entity/P54,member of sports team,所属チーム
http://www.wikidata.org/prop/direct/P69,http://www.wikidata.org/entity/P69,educated at,出身校
http://www.wikidata.org/prop/direct/P570,http://www.wikidata.org/entity/P570,date of death,没年月日
http://www.wikidata.org/prop/direct/P101,http://www.wikidata.org/entity/P101,field of work,専門分野
http://www.wikidata.org/prop/direct/P97,http://www.wikidata.org/entity/P97,noble title,爵位
http://www.wikidata.org/prop/direct/P102,http://www.wikidata.org/entity/P102,member of political party,所属政党
http://www.wikidata.org/prop/direct/P641,http://www.wikidata.org/entity/P641,sport,スポーツ
http://www.wikidata.org/prop/direct/P607,http://www.wikidata.org/entity/P607,conflict,参加した戦い
http://www.wikidata.org/prop/direct/P646,http://www.wikidata.org/entity/P646,Freebase ID,Freebase識別子
http://www.wikidata.org/prop/direct/P103,http://www.wikidata.org/entity/P103,native language,母語
http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/P106,occupation,職業
http://www.wikidata.org/prop/direct/P648,http://www.wikidata.org/entity/P648,Open Library ID,Open Library識別子
http://www.wikidata.org/prop/direct/P734,http://www.wikidata.org/entity/P734,family name,姓
http://www.wikidata.org/prop/direct/P691,http://www.wikidata.org/entity/P691,NKCR AUT ID,NKC識別子
http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/P108,employer,勤務先
http://www.wikidata.org/prop/direct/P735,http://www.wikidata.org/entity/P735,given name,名
http://www.wikidata.org/prop/direct/P109,http://www.wikidata.org/entity/P109,signature,署名
http://www.wikidata.org/prop/direct/P112,http://www.wikidata.org/entity/P112,founded by,創設者
http://www.wikidata.org/prop/direct/P742,http://www.wikidata.org/entity/P742,pseudonym,別名
http://www.wikidata.org/prop/direct/P119,http://www.wikidata.org/entity/P119,place of interment,埋葬地
http://www.wikidata.org/prop/direct/P793,http://www.wikidata.org/entity/P793,significant event,重要な出来事
http://www.wikidata.org/prop/direct/P800,http://www.wikidata.org/entity/P800,notable work,主要作品
http://www.wikidata.org/prop/direct/P802,http://www.wikidata.org/entity/P802,student,弟子
http://www.wikidata.org/prop/direct/P135,http://www.wikidata.org/entity/P135,movement,文芸思潮
http://www.wikidata.org/prop/direct/P856,http://www.wikidata.org/entity/P856,official website,公式ウェブサイト
http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/P140,religion,宗教
